Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Peru,19.40,20.14,20.17,20.13,19.76,19.04,18.17,17.87,18.54,19.20,19.65,20.03,20.17
Arequipa,10.66,11.93,12.17,12.25,11.53,10.25,8.93,8.66,9.00,9.96,10.42,11.08,11.90
Apurímac,8.61,9.24,9.43,9.47,9.19,8.04,6.85,6.69,7.48,8.50,8.95,9.68,9.82
Ucayali,25.14,25.65,25.48,25.48,25.34,24.84,24.01,23.78,24.72,25.34,25.61,25.82,25.71
Tumbes,23.71,24.99,25.60,25.64,25.33,24.27,23.05,22.24,22.01,22.17,22.43,22.88,24.03
Tacna,11.72,14.12,14.35,14.00,12.49,10.74,9.13,8.71,9.27,10.43,11.50,12.56,13.50
Amazonas,20.58,21.02,21.01,20.86,20.79,20.49,19.93,19.45,19.78,20.25,20.87,21.32,21.18
"San Martín",22.87,23.23,23.05,22.92,22.87,22.73,22.28,21.89,22.56,22.93,23.25,23.41,23.38
Puno,9.34,10.69,10.67,10.72,9.88,8.19,6.67,6.54,7.65,9.19,10.33,10.82,10.87
Piura,22.13,23.73,24.39,24.33,23.59,22.25,21.02,20.32,20.35,20.61,20.84,21.59,22.72
Pasco,18.51,19.11,18.96,18.99,18.84,18.35,17.51,17.15,17.82,18.36,18.83,19.16,19.06
Moquegua,9.77,11.47,11.68,11.60,10.52,9.03,7.54,7.25,7.78,9.03,9.77,10.49,11.20
"Madre de Dios",24.07,24.86,24.79,24.76,24.43,23.31,22.32,22.02,23.26,24.30,24.86,25.10,24.93
Loreto,26.32,26.63,26.58,26.53,26.29,26.04,25.51,25.31,25.95,26.45,26.81,26.86,26.87
Ancash,11.73,12.65,12.64,12.66,12.11,11.66,10.92,10.45,10.87,11.04,11.56,11.99,12.32
Lima,11.28,12.86,13.08,12.98,12.14,11.04,9.99,9.40,9.63,10.10,10.80,11.42,12.00
Lambayeque,21.65,23.71,24.48,24.30,23.27,21.67,20.33,19.47,19.45,19.72,20.00,21.02,22.55
"La Libertad",15.37,16.38,16.54,16.47,15.85,15.27,14.53,14.07,14.53,14.68,14.92,15.42,15.82
Junín,14.46,15.09,15.10,15.05,14.83,14.16,13.29,12.95,13.64,14.33,14.79,15.28,15.11
Ica,16.85,19.23,19.76,19.45,18.35,16.42,14.92,14.22,14.32,14.82,15.51,16.89,18.48
Huánuco,17.76,18.03,17.74,17.88,17.87,17.76,17.05,16.70,17.43,17.82,18.23,18.41,18.23
Huancavelica,7.88,8.50,8.70,8.60,8.36,7.59,6.67,6.32,6.95,7.61,7.99,8.67,8.62
Cusco,13.87,14.62,14.68,14.74,14.35,13.16,11.98,11.78,12.77,13.87,14.50,15.06,14.97
Callao,10.76,12.50,12.60,12.51,11.60,9.93,8.42,8.06,8.73,9.80,11.02,11.83,12.21
Cajamarca,16.07,16.67,16.61,16.52,16.34,15.99,15.42,15.10,15.62,15.85,15.83,16.43,16.51
Ayacucho,10.05,10.76,11.09,10.99,10.76,9.70,8.58,8.36,8.95,9.69,9.83,10.88,11.12
