Departamento,Distrito,Provincia,Ubigeo (Dip16.Shp),Geometría,Latitude (generated),Longitude (generated),Casos
UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,Polygon,-8.834376616,-75.055709667,1
UCAYALI,NESHUYA,PADRE ABAD,250304,Polygon,-8.582418865,-75.025109366,1
UCAYALI,IRAZOLA,PADRE ABAD,250302,Polygon,-8.934365599,-75.221298743,2
UCAYALI,PADRE ABAD,PADRE ABAD,250301,Polygon,-8.748049204,-75.581460619,9
UCAYALI,RAIMONDI,ATALAYA,250201,Polygon,-10.633574113,-73.491412888,17
UCAYALI,MANANTAY,CORONEL PORTILLO,250107,Polygon,-8.455716056,-74.480712903,15
UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,Polygon,-8.192267894,-75.193749415,1
UCAYALI,YARINACOCHA,CORONEL PORTILLO,250105,Polygon,-8.235721814,-74.657524210,14
UCAYALI,MASISEA,CORONEL PORTILLO,250104,Polygon,-8.970200039,-73.286264474,1
UCAYALI,IPARIA,CORONEL PORTILLO,250103,Polygon,-9.714232783,-73.808475634,1
UCAYALI,CAMPOVERDE,CORONEL PORTILLO,250102,Polygon,-8.511008594,-74.948999608,2
UCAYALI,CALLERIA,CORONEL PORTILLO,250101,Polygon,-7.924101656,-74.083853778,85
TUMBES,AGUAS VERDES,ZARUMILLA,240302,Polygon,-3.490296252,-80.235653331,4
TUMBES,ZARUMILLA,ZARUMILLA,240301,Polygon,-3.456546300,-80.309808789,16
TUMBES,ZORRITOS,CONTRALMIRANTE VILLAR,240201,Polygon,-3.809341640,-80.677327266,21
TUMBES,SAN JACINTO,TUMBES,240105,Polygon,-3.965517663,-80.519668818,2
TUMBES,PAMPAS DE HOSPITAL,TUMBES,240104,Polygon,-3.865163345,-80.336941462,1
TUMBES,LA CRUZ,TUMBES,240103,Polygon,-3.671636081,-80.568752016,5
TUMBES,CORRALES,TUMBES,240102,Polygon,-3.599307355,-80.501695828,17
TUMBES,TUMBES,TUMBES,240101,Polygon,-3.537307577,-80.424454107,59
SAN MARTIN,UCHIZA,TOCACHE,221005,Polygon,-8.385054982,-76.475910344,52
SAN MARTIN,POLVORA,TOCACHE,221003,Polygon,-7.940871127,-76.785698833,5
SAN MARTIN,NUEVO PROGRESO,TOCACHE,221002,Polygon,-8.587390981,-76.173273542,20
SAN MARTIN,TOCACHE,TOCACHE,221001,Polygon,-8.254686825,-76.507680579,19
SAN MARTIN,SHAPAJA,SAN MARTIN,220914,Polygon,-6.580995384,-76.207730940,1
SAN MARTIN,MORALES,SAN MARTIN,220910,Polygon,-6.494912625,-76.411202254,4
