"Departamento",1940,1961,1972,1981,1993,2007,2017
"Total",4010834,5208568,5479713,5913287,6589757,7534804,6069991
"Amazonas",38489,72462,127115,172587,217148,246459,221824
"Áncash ",329794,391636,385457,386802,406995,473149,396791
"Apurímac",221158,231107,233525,239924,248048,270057,219795
"Arequipa",107933,138135,108765,122653,130948,155308,113789
"Ayacucho",273390,306872,306904,319704,255733,324375,258131
"Cajamarca ",416383,624081,746020,815274,948673,996910,865944
"Prov. Const. del Callao",1019,8550,7915,2967,497,"-","-"
"Cusco",364040,413631,452415,484108,557038,603487,474275
"Huancavelica",206752,245081,252001,261022,284723,368884,241777
"Huánuco ",187055,254894,303115,329450,401711,494334,345615
"Ica",78673,118341,101963,92278,93454,85320,64348
"Junín ",200726,265458,281890,341576,357590,473137,361110
"La Libertad ",273056,351078,326512,350545,399871,432502,374525
"Lambayeque",94389,130830,140612,155811,211187,232631,226139
"Lima",198125,278774,231513,202966,207488,229068,160609
"Loreto ",103165,172538,195731,227539,288860,333664,276767
"Madre de Dios",3644,11107,12805,17047,28575,33834,24327
"Moquegua",25810,26976,22363,23219,22146,37045,22972
"Pasco ",61667,91313,73640,90116,92912,117587,93796
"Piura ",263329,371113,392107,428674,411466,452704,384976
"Puno",477292,562113,590013,607036,656596,700091,542049
"San Martín",42046,65979,92634,138541,216445,301237,259302
"Tacna",17066,20044,18086,20898,22404,39853,32544
"Tumbes",15011,22018,23786,22002,19234,19304,14271
"Ucayali ",10822,34437,52826,60548,110015,113864,94315
