"Departamento",1940,1961,1972,1981,1993,2007,2017,,,,,,
"Total",2197133,4698178,8058495,11091923,15458599,19877353,23311893,,,,,,
"Amazonas",26648,45977,67357,81973,119517,129534,157560,,,,,,
"Áncash ",98673,194578,346635,439597,548028,590310,686728,,,,,,
"Apurímac",36936,57116,75088,83422,133949,134133,185964,,,,,,
"Arequipa",155144,250746,420801,583927,785858,996995,1268941,,,,,,
"Ayacucho",85601,103900,150537,183688,236774,288114,358045,,,,,," "
"Cajamarca ",66048,107175,156892,211170,311135,390899,475068,,,,,,
"Prov. Const. del Callao",81268,204990,313316,440446,639232,876877,994494,,,,,,
"Cusco",122552,198341,262822,348396,471725,567916,731252,,,,,,
"Huancavelica",37843,57736,79628,85775,100439,85913,105862,,,,,,
"Huánuco ",42213,68352,106399,148427,252778,267889,375432,,,,,,
"Ica",62225,137589,255284,341619,472232,626612,786417,,,,,,
"Junín ",137776,255752,414751,510662,678251,752337,884928,,,,,,
"La Libertad ",122177,246847,473465,631529,870390,1184548,1403555,,,,,,
"Lambayeque",98501,211616,373990,518631,709608,880237,971121,,,,,,
"Lima",630173,1752277,3241051,4542911,6178820,8216143,9324796,,,,,,
"Loreto ",49292,100395,179276,255290,398422,558068,606743,,,,,,
"Madre de Dios",1306,3783,8499,15960,38433,75721,116743,,,,,,
"Moquegua",8342,24638,52107,78391,106601,124488,151891,,,,,,
"Pasco ",29950,49113,102017,121802,133383,162862,160269,,,,,,
"Piura ",145276,297828,462865,697191,976798,1223611,1471833,,,,,,
"Puno",71079,124147,186160,283222,423253,568350,630648,,,,,,
"San Martín",52797,95784,131793,181210,335942,427571,554079,,,,,,
"Tacna",19283,45980,77358,122187,195949,248928,296788,,,,,,
"Tumbes",10698,33794,52729,81837,136287,181002,210592,,,,,,
"Ucayali ",5332,29724,67675,102660,204795,318295,402144,,,,,,
