event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PER8076,"28 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Arequipa,Arequipa,Arequipa,Arequipa,-16.3989,-71.535,1,"Diario Correo (Peru)",National,"On 28 April 2023, in Arequipa (Arequipa), residents of Pablo VI urbanization staged a demonstration to voice their grievance about the increase of criminal activity in their sector due to the increase of prostitution.",0,"crowd size=no report",1683046241
PER8081,"28 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Lambayeque,Chiclayo,Chiclayo,Chiclayo,-6.7714,-79.8409,1,"Diario Correo (Peru)",National,"On 28 April 2023, in Chiclayo (Lambayeque), residents of 4 de Noviembre town staged a demonstration against the Sanitation Services Company (EPSEL) for not providing a solution of the collapse of sewage water service for more than a month.",0,"crowd size=no report",1683046241
PER8084,"28 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Students (Peru)",6,,,0,60,,604,"South America",Peru,Junin,Huancayo,Huancayo,Huancayo,-12.0651,-75.2049,1,"Diario Correo (Peru)",National,"On 28 April 2023, in Huancayo (Junin), for the sixth consecutive day, students of different faculties of Centro del Peru National University (UNCP) held a demonstration and continued to occupy the university campus to demand maintenance of the Satipo campus infrastructure, among other demands.",0,"crowd size=no report",1683046241
PER8097,"28 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Lambayeque,Chiclayo,Monsefu,Monsefu,-6.8781,-79.8718,2,"Diario Correo (Peru)",National,"On 28 April 2023, around Monsefu (Lambayeque), residents blocked the highway near Callanca that enters the city as a demonstration to voice their concern about the lack of action from authorities from carrying out projects to stop the Reque river from overflowing and damaging their crops.",0,"crowd size=no report",1683046241
PER8085,"27 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Students (Peru)",6,,,0,60,,604,"South America",Peru,Junin,Huancayo,Huancayo,Huancayo,-12.0651,-75.2049,1,"Diario Correo (Peru)",National,"On 27 April 2023, in Huancayo (Junin), for the fifth consecutive day, students of different faculties of Centro del Peru National University (UNCP) held a demonstration and continued to occupy the university campus to demand maintenance of the Satipo campus infrastructure, among other demands.",0,"crowd size=no report",1683046241
PER8093,"27 April 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Peru)","Vigilante Group (Peru)",5,"Civilians (Peru)",,7,57,"Civilian targeting",604,"South America",Peru,Loreto,Maynas,Iquitos,Iquitos,-3.7491,-73.2538,1,"La Region (Peru)",Subnational,"On 27 April 2023, in Iquitos (Loreto), residents of Modelo human settlement in San Juan district captured and beat up a man that had stolen a student's cellphone moments before. The man was later taken to a police station.",0,"crowd size=no report",1683046241
PER8075,"26 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Tumbes,"Contralmirante Villar",Zorritos,Acapulco,-3.7384,-80.7675,1,"Diario Correo (Peru)",National,"On 26 April 2023, in Acapulco (Tumbes), more than 20 residents blocked with tires and buckets of water the North Pan-American highway as a demonstration to demand potable water services to be reinstated in their sector, which has been paralyzed for more than a month.",0,"crowd size=more than 20",1683046241
PER8086,"26 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Labor Group (Peru)",6,,,0,60,,604,"South America",Peru,Junin,Huancayo,Huancayo,Huancayo,-12.0651,-75.2049,1,"Diario Correo (Peru)",National,"On 26 April 2023, in Huancayo (Junin), construction workers staged a demonstration outside the Puente Comuneros II project to voice their grievances about their salaries not being paid for more than 2.5 months.",0,"crowd size=no report",1683046241
PER8087,"26 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Students (Peru)",6,,,0,60,,604,"South America",Peru,Junin,Huancayo,Huancayo,Huancayo,-12.0651,-75.2049,1,"Diario Correo (Peru)",National,"On 26 April 2023, in Huancayo (Junin), for the fourth consecutive day, students of different faculties of Centro del Peru National University (UNCP) held a demonstration and continued to occupy the university campus to demand maintenance of the Satipo campus infrastructure, among other demands.",0,"crowd size=no report",1683046241
PER8095,"26 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Lawyers (Peru); Labor Group (Peru)",6,,,0,60,,604,"South America",Peru,Lambayeque,Lambayeque,Lambayeque,Lambayeque,-6.7011,-79.9061,1,"Diario Correo (Peru)",National,"On 26 April 2023, in Lambayeque (Lambayeque), Ombudsman's workers, including lawyers and administrative workers, staged a demonstration outside the institution's offices to demand the Justice and Human Rights Ministry (MINJUS) approve increases to their wages and for respect of their work hours.",0,"crowd size=no report",1683046241
