Variable:,tasmax
,Annual,DJF,MAM,JJA,SON
Peru,25.84,25.94,25.91,25.41,26.07
Arequipa,17.64,17.83,18.47,16.61,17.38
Apurímac,16.56,15.61,16.76,16.54,16.82
Ucayali,31.06,30.93,30.95,31.10,31.39
Tumbes,28.73,30.33,30.21,27.28,27.51
Tacna,18.08,19.70,18.94,15.94,17.82
Amazonas,26.99,27.04,26.82,26.40,27.52
"San Martín",29.17,29.17,28.94,29.11,29.46
Puno,17.16,16.66,17.17,16.52,18.00
Piura,28.37,30.18,29.60,26.70,27.38
Pasco,25.28,25.03,25.38,25.41,25.32
Moquegua,16.98,17.47,17.64,15.65,17.04
"Madre de Dios",30.05,29.90,29.84,29.58,30.81
Loreto,32.12,32.31,31.79,31.78,32.71
Ancash,18.61,18.99,18.93,18.34,18.25
Lima,17.86,18.78,18.60,17.14,17.12
Lambayeque,27.32,29.83,28.81,25.21,25.85
"La Libertad",21.56,22.42,21.99,20.91,21.11
Junín,21.59,21.08,21.64,21.87,21.66
Ica,21.90,24.37,23.34,19.62,20.47
Huánuco,24.80,24.23,24.72,25.16,25.03
Huancavelica,15.56,14.76,15.70,15.99,15.49
Cusco,21.28,20.62,21.34,21.09,21.77
Callao,17.20,17.85,17.74,15.80,17.36
Cajamarca,22.67,22.84,22.67,22.27,22.78
Ayacucho,17.44,16.94,17.85,17.31,17.30
