Variable:,tasmin
,Annual,DJF,MAM,JJA,SON
Peru,13.64,15.06,14.17,11.75,13.71
Arequipa,4.00,6.79,4.83,1.38,3.54
Apurímac,1.14,3.74,1.80,-2.05,1.41
Ucayali,20.12,21.05,20.48,18.28,20.57
Tumbes,19.53,21.04,20.86,18.54,18.24
Tacna,5.37,9.01,6.11,2.08,4.83
Amazonas,14.95,15.68,15.47,13.98,14.82
"San Martín",17.44,17.89,17.66,16.39,17.75
Puno,1.63,5.09,2.37,-2.59,1.99
Piura,16.72,18.75,18.10,15.39,15.34
Pasco,12.75,14.06,13.19,10.75,13.09
Moquegua,2.60,5.97,3.40,-0.60,2.19
"Madre de Dios",18.48,20.25,19.04,15.90,18.84
Loreto,21.30,21.51,21.56,20.39,21.50
Ancash,5.80,7.29,6.42,4.20,5.61
Lima,5.60,8.16,6.54,3.22,5.13
Lambayeque,16.77,19.14,18.24,15.21,15.32
"La Libertad",10.06,11.40,10.72,8.87,9.70
Junín,8.21,10.05,8.71,5.72,8.61
Ica,12.41,15.41,13.66,10.02,11.28
Huánuco,11.72,12.53,12.02,10.11,12.17
Huancavelica,0.89,3.29,1.55,-1.91,1.11
Cusco,6.90,9.30,7.52,3.73,7.34
Callao,4.53,7.76,5.37,1.17,4.31
Cajamarca,10.30,11.25,10.83,9.47,10.03
Ayacucho,3.24,5.66,3.96,0.55,3.23
