REGIÓN;PROVINCIA;DISTRITO;CODIGO DEL RECURSO;NOMBRE DEL RECURSO;CATEGORÍA;TIPO DE CATEGORÍA;SUB TIPO CATEGORÍA;URL;LATITUD;LONGITUD;FECHA_DE_CORTE
Cusco;Cusco;CUSCO;11;Festividad Del Señor De Los Temblores;5. ACONTECIMIENTOS PROGRAMADOS;Fiestas;Fiestas religiosas-patronales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11;-71.9801;-13.5153;20230102
Cusco;Canas;LANGUI;12;Laguna De Langui-Layo;1. SITIOS NATURALES;g. Cuerpo de Agua;Lagunas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12;-71.16602045996092;-14.499080282861806;20230102
Cajamarca;Contumaza;YONAN;16;Petrogligos De Yonan;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Petroglifos (Grabados en piedra);http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=16;-79.130786;-7.2531078579146415;20230102
Amazonas;Chachapoyas;LEVANTO;17;Sitio Arqueológico De Collacruz;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Templos;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=17;-77.89887399999998;-6.308009;20230102
Amazonas;Chachapoyas;MAGDALENA;18;Caverna De Shihual;1. SITIOS NATURALES;Cavidades naturales;Grutas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=18;-77.8818;-6.372;20230102
Huanuco;Huanuco;HUANUCO;20;Pinturas Rupestres De Quillarumi;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Pintura Rupestre;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=20;-76.2905993703614;-9.937153171539153;20230102
Huanuco;Ambo;AMBO;21;Laguna Rumichaca;1. SITIOS NATURALES;g. Cuerpo de Agua;Lagunas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=21;-76.12607002258301;-10.096642091769294;20230102
Huanuco;Lauricocha;SAN MIGUEL DE CAURI;22;Laguna De Lauricocha;1. SITIOS NATURALES;g. Cuerpo de Agua;Lagunas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=22;-76.66389048099518;-10.315821774759021;20230102
Huanuco;Lauricocha;SAN MIGUEL DE CAURI;23;Cueva De Lauricocha;1. SITIOS NATURALES;Cavidades naturales;Grutas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=23;-76.64987325668335;-10.313969294654017;20230102
Huanuco;Lauricocha;QUEROPALCA;24;Nevado De Yerupajá;1. SITIOS NATURALES;a. Montañas;Nevado;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=24;-76.9052410125733;-10.268640834546621;20230102
